City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Winnemucca,US,40.973,-117.7357,57.25,35,100,21.85,overcast clouds
79,Meridian,US,43.6121,-116.3915,63.52,54,0,19.57,clear sky
80,Kavieng,PG,-2.5744,150.7967,82.13,76,98,4.03,light rain
81,Leiyang,CN,26.4024,112.8591,55.18,92,98,5.08,overcast clouds
82,Codrington,AU,-38.2667,141.9667,60.46,67,92,5.06,overcast clouds
83,Inongo,CD,-1.95,18.2667,73.02,91,100,3.85,overcast clouds
84,Wana,PK,32.2989,69.5725,64.44,17,0,7.4,clear sky
85,Shiyan,CN,32.6475,110.7781,49.82,93,54,1.23,broken clouds
86,Burla,IN,21.5,83.8667,72.59,22,1,2.57,clear sky
87,Boundiali,CI,9.5217,-6.4869,87.62,28,56,4.07,broken clouds
88,Aklavik,CA,68.2191,-135.0107,-0.22,87,96,4.07,overcast clouds
89,Sawakin,SD,19.1059,37.3321,72.28,74,14,10.6,few clouds
90,Amot,NO,59.5714,7.9877,19.36,93,100,5.93,overcast clouds
91,Nikolskoye,RU,59.7035,30.7861,26.87,93,87,8.75,light snow
92,Bredasdorp,ZA,-34.5322,20.0403,65.3,68,100,2.66,overcast clouds
93,Kichera,RU,55.9375,110.0997,6.51,92,99,2.57,overcast clouds
94,Butaritari,KI,3.0707,172.7902,80.44,74,56,11.95,broken clouds
95,Dubbo,AU,-32.25,148.6167,68.13,83,100,10.36,overcast clouds
96,Riyadh,SA,24.6877,46.7219,60.94,20,0,8.61,clear sky
97,Menongue,AO,-14.6585,17.691,67.55,57,88,3.13,overcast clouds
98,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,89,40,12.66,scattered clouds
99,Cidreira,BR,-30.1811,-50.2056,69.91,80,0,8.48,clear sky
100,Cochrane,CA,51.1834,-114.4687,44.87,58,100,14.97,overcast clouds
101,Timmins,CA,48.4669,-81.3331,19.22,30,20,10.36,few clouds
102,Grand-Lahou,CI,5.1367,-5.0242,80.28,91,99,7.05,overcast clouds
103,Husavik,IS,66.0449,-17.3389,26.15,74,73,7.29,broken clouds
104,Kudahuvadhoo,MV,2.6708,72.8944,81.3,67,0,3.2,clear sky
105,Grakhovo,RU,56.0502,51.9676,11.1,95,100,6.6,overcast clouds
106,Padang,ID,-0.9492,100.3543,74.82,72,3,5.79,clear sky
107,Zhaotong,CN,27.3167,103.7167,48.69,91,30,1.63,scattered clouds
108,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,20,4.61,few clouds
109,Ribeira Grande,PT,38.5167,-28.7,60.62,78,43,4.0,scattered clouds
110,Lebu,CL,-37.6167,-73.65,60.39,76,27,7.74,scattered clouds
111,Lata,PT,40.1629,-8.3327,57.16,65,100,3.44,overcast clouds
112,Qui Nhon,VN,13.7667,109.2333,75.38,85,96,8.84,overcast clouds
113,Wakkanai,JP,45.4094,141.6739,40.93,78,2,25.23,clear sky
114,Sovetsk,RU,55.0839,21.8785,41.65,83,96,12.39,overcast clouds
115,Port Hardy,CA,50.6996,-127.4199,50.0,87,40,4.61,scattered clouds
116,Saint-Pierre,RE,-21.3393,55.4781,78.48,76,31,6.91,scattered clouds
117,Dudinka,RU,69.4058,86.1778,6.62,93,100,14.34,overcast clouds
118,Yabrud,SY,33.9674,36.6574,42.24,50,0,5.44,clear sky
119,Barrow,US,71.2906,-156.7887,-0.38,71,0,23.02,haze
120,Bengkulu,ID,-3.8004,102.2655,73.92,82,17,6.55,few clouds
121,Namie,JP,37.4833,141.0,38.71,81,100,2.48,overcast clouds
122,Taoudenni,ML,22.6783,-3.9836,91.83,9,100,9.15,overcast clouds
123,Muros,ES,42.7762,-9.0603,60.67,74,99,6.78,overcast clouds
124,Toma,BF,12.7667,-2.8833,85.06,8,1,9.75,clear sky
125,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,85,20,6.64,few clouds
126,Rognan,NO,67.0953,15.3878,17.74,87,37,6.6,scattered clouds
127,Qaanaaq,GL,77.484,-69.3632,8.42,93,100,1.66,overcast clouds
128,Jalu,LY,29.0331,21.5482,66.18,13,17,12.33,few clouds
129,Mar Del Plata,AR,-38.0023,-57.5575,78.82,89,20,18.99,few clouds
130,Lagoa Formosa,BR,-18.7786,-46.4075,73.02,61,34,4.56,scattered clouds
131,Kapaa,US,22.0752,-159.319,79.12,73,40,9.22,scattered clouds
132,Rafraf,TN,37.1904,10.1837,50.31,85,44,2.39,scattered clouds
133,Baykit,RU,61.67,96.37,-7.71,100,67,2.15,broken clouds
134,Talnakh,RU,69.4865,88.3972,6.21,96,97,9.46,overcast clouds
135,Gonbad-E Qabus,IR,37.25,55.1672,49.15,60,100,4.34,overcast clouds
136,Nanortalik,GL,60.1432,-45.2371,31.42,82,58,4.61,broken clouds
137,Leningradskiy,RU,69.3833,178.4167,-7.85,93,39,0.98,scattered clouds
138,Oneida,US,43.2001,-75.4663,20.73,73,100,21.85,light snow
139,Tasiilaq,GL,65.6145,-37.6368,21.2,89,100,6.08,overcast clouds
140,Mana,GF,5.6592,-53.7767,77.2,83,100,11.56,overcast clouds
141,Yumen,CN,40.2833,97.2,37.63,49,95,1.01,overcast clouds
142,Povenets,RU,62.8487,34.8262,16.11,92,100,8.63,overcast clouds
143,Port Elizabeth,ZA,-33.918,25.5701,70.11,89,0,16.11,clear sky
144,Hilo,US,19.7297,-155.09,80.33,68,100,10.0,overcast clouds
145,Rawson,AR,-43.3002,-65.1023,71.46,30,18,15.39,few clouds
146,Solnechnyy,RU,50.7214,136.6319,22.68,92,83,5.66,broken clouds
147,Clearwater,US,27.9659,-82.8001,80.56,65,0,8.05,clear sky
148,Santa Isabel,BR,-23.3156,-46.2214,74.5,98,49,3.74,scattered clouds
149,Dandong,CN,40.1292,124.3947,35.65,65,49,2.39,scattered clouds
150,Wanaka,NZ,-44.7,169.15,60.12,72,88,2.24,overcast clouds
151,Plettenberg Bay,ZA,-34.0527,23.3716,65.66,85,59,1.23,broken clouds
152,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,88,20,6.22,few clouds
153,Semey,KZ,50.4111,80.2275,27.82,91,98,7.25,snow
154,Brownwood,US,31.7093,-98.9912,92.52,20,0,17.27,clear sky
155,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,20,20,27.63,few clouds
156,Mahebourg,MU,-20.4081,57.7,75.49,88,20,4.61,few clouds
157,Sayyan,YE,15.1718,44.3244,51.53,35,3,9.75,clear sky
158,Havoysund,NO,70.9963,24.6622,28.63,65,100,27.34,light snow
159,Shimoda,JP,34.6667,138.95,50.11,84,100,12.82,overcast clouds
160,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,70,0,10.36,clear sky
161,Khasan,RU,42.4308,130.6434,36.03,83,46,3.18,scattered clouds
162,Mao,ES,39.8885,4.2658,54.16,94,0,5.75,clear sky
163,Hobart,AU,-42.8794,147.3294,59.05,81,75,4.61,broken clouds
164,Pereslavl-Zalesskiy,RU,56.7393,38.8563,33.87,78,100,16.75,overcast clouds
165,Airai,TL,-8.9266,125.4092,58.93,91,77,1.43,broken clouds
166,Lac Du Bonnet,CA,50.2536,-96.0612,30.87,57,100,10.38,overcast clouds
167,Makoshyne,UA,51.46,32.3396,47.93,66,51,19.01,broken clouds
168,Khani,GE,41.9563,42.9566,24.37,88,35,7.2,scattered clouds
169,Hobyo,SO,5.3505,48.5268,79.68,71,24,16.02,few clouds
170,Lagoa,PT,39.05,-27.9833,59.41,80,39,6.04,scattered clouds
171,Henties Bay,NA,-22.116,14.2845,64.63,77,57,5.39,broken clouds
172,Shahkot,IN,31.0775,75.3372,71.2,13,0,3.96,clear sky
173,Chlorakas,CY,34.8042,32.4083,55.63,61,32,2.82,scattered clouds
