City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
320,Swellendam,ZA,70.56,overcast clouds,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
322,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
323,Port Blair,IN,79.93,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
325,Benguela,AO,77.41,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
327,Kilinochchi,LK,76.21,clear sky,9.3961,80.3982,Solaivanam Guest House
328,Rio Grande,BR,77.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
331,Ransang,PH,76.77,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
335,Diu,IN,77.41,clear sky,20.7141,70.9822,Hotel Relax Inn
336,Makakilo City,US,79.61,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
342,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
346,Florida,US,79.07,clear sky,28.7505,-82.5001,Sportsmens Cove
347,Tamiahua,MX,76.55,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
348,Pontes E Lacerda,BR,77.25,overcast clouds,-15.2261,-59.3353,Hotel Bressan
357,Mackay,AU,74.68,clear sky,-21.15,149.2,International Lodge Motel
359,Trelew,AR,72.77,scattered clouds,-43.249,-65.3051,Hotel Touring Club
365,Hasan Abdal,PK,74.46,clear sky,30.4333,72.7,FM Grewal House
369,Nichlaul,IN,70.61,clear sky,27.3167,83.7333,Karan Manes Parler
371,Loubomo,CG,72.72,overcast clouds,-4.1997,12.6739,La Dolisienne
372,Saint George,US,77.59,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
374,Kapit,MY,71.67,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
377,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
384,Massakory,TD,76.86,clear sky,12.996,15.7293, 
391,Rajshahi,BD,72.32,few clouds,24.3667,88.6,Anjum Hotel International
395,Inhambane,MZ,72.9,scattered clouds,-23.865,35.3833,Oceano
398,Gigmoto,PH,79.38,broken clouds,13.7796,124.39,Cj's Travellers Inn
402,Belmonte,BR,78.73,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
405,Nagua,DO,79.11,scattered clouds,19.3832,-69.8474,Hotel Cambri
406,Bhadrapur,NP,74.7,clear sky,26.544,88.0944,Greencity
410,Denpasar,ID,76.71,thunderstorm,-8.65,115.2167,OYO 3156 Hotel Warta 2
421,Russell,US,77.97,clear sky,32.3502,-85.1999,Macs
423,Bosaso,SO,76.75,clear sky,11.2842,49.1816,Red Sea Hotel
432,Nabinagar,BD,72.3,clear sky,23.8917,90.9733,Padma'r Sworone
434,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
435,Formosa Do Rio Preto,BR,79.25,broken clouds,-11.0483,-45.1931,Porto Center Hotel
444,Dingle,PH,77.09,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
449,Labuhan,ID,76.66,overcast clouds,-6.8844,112.2051,DoubleFAG
451,Diffa,NE,72.52,few clouds,13.3154,12.6113,ProDAF/Diffa
458,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
459,Patrocinio,BR,71.58,scattered clouds,-18.9439,-46.9925,Guines Palace Hotel 34-99816-3311
463,Marsabit,KE,71.96,overcast clouds,2.3284,37.9899,Chicho Hotel
466,Atambua,ID,72.95,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
467,Merauke,ID,76.24,moderate rain,-8.4667,140.3333, 
480,Bria,CF,77.92,overcast clouds,6.5423,21.9863,WFP Guesthouse
484,Krishnagiri,IN,75.54,clear sky,12.5333,78.2333,"Alps Residency - A Bergamont Group of Hotel, Krishnagiri"
488,Inirida,CO,72.99,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
491,Morondava,MG,79.21,broken clouds,-20.2833,44.2833,La Case Bambou
498,Bonthe,SL,77.14,light rain,7.5264,-12.505,Bonthe Holiday Village
